date,3D_printing,autonomous_cars,cloud_computing,drones,electric_cars,smartphones,solar_tech
1990-04-01,0,2.795517232810675e-5,0,3.3856819819595956e-4,4.441766269910295e-4,3.106130258678528e-6,0.0010374475063986283
1990-05-01,0,1.7990141402511423e-5,0,3.208241883447871e-4,1.9789155542762567e-4,0,2.998356900418571e-4
1990-06-01,0,3.745330041604375e-5,0,3.2771637864038275e-4,1.5917652676818592e-4,6.242216736007291e-6,4.057440878404739e-4
1990-07-01,0,3.0791305766903656e-5,0,4.064452361231283e-4,2.0322261806156414e-4,9.237391730071097e-6,5.111356757306007e-4
1990-08-01,0,3.239390994493035e-5,0,2.9449009040845775e-4,2.1792266690225874e-4,2.9449009040845774e-6,7.097211178843832e-4
1990-09-01,0,1.768409139138431e-5,2.9473485652307182e-6,2.7999811369691825e-4,4.3031289052368487e-4,1.1789394260922873e-5,6.454693357855274e-4
1990-10-01,0,8.06998289163627e-6,0,2.2326952666860346e-4,0.00030396935558496617,0,4.6267901912047947e-4
1990-11-01,0,1.6677414333681707e-5,0,2.0568811011540772e-4,3.168708723399524e-4,5.559138111227235e-6,3.919192368415201e-4
1990-12-01,0,2.0972714498437532e-5,0,1.498051035602681e-4,2.2470765534040213e-4,2.996102071205362e-6,4.1945428996875066e-4
1991-01-01,0,1.8867619391600137e-5,0,3.207495296572023e-4,2.8570966507280205e-4,0,4.2317374921160307e-4
1991-02-01,0,2.915264910122383e-5,0,4.1396761723737834e-4,3.5857758394505307e-4,0,4.6644238561958126e-4
1991-03-01,0,2.6020118755822e-5,0,3.3565953195010385e-4,3.9030178133733003e-4,2.6020118755822003e-6,3.2004746069661064e-4
1991-04-01,0,2.729473675591136e-5,0,2.838652622614781e-4,3.766673672315767e-4,2.7294736755911356e-6,5.458947351182271e-4
1991-05-01,0,2.3763380103185878e-5,0,2.7723943453716854e-4,3.300469458775816e-4,5.280751134041306e-6,3.2476619474354035e-4
1991-06-01,0,5.841170236734285e-5,0,2.892770022001741e-4,2.392098287424517e-4,0,3.6994078165983806e-4
1991-07-01,0,2.8180445025587844e-5,0,2.4235182722005545e-4,3.099848952814663e-4,1.972631151791149e-5,3.804360078454359e-4
1991-08-01,0,2.1515845075157536e-5,0,3.2004819549296835e-4,3.4963248247131e-4,2.689480634394692e-6,3.1197975358978426e-4
1991-09-01,0,2.725025819619641e-5,0,3.270030983543569e-4,3.3790320163283545e-4,2.725025819619641e-6,4.332791053195229e-4
1991-10-01,2.512543875297422e-6,2.2612894877676802e-5,0,3.3165579153925974e-4,4.5477044142883344e-4,1.7587807127081956e-5,3.5175614254163913e-4
